# Reviews,Wine Type,Country,Discounted Price,Final Price,Grape Variety,Number of Records,Original Price,Rating Name,Rating Score,Region,Regular Price,Wine Name,Year
,Dessert,Portugal,,22.99,Port,1,,WS,93,,22.99,Fonseca Late Bottled Vintage,2008
,Dessert,Portugal,,22.99,Port,1,,WS,93,,22.99,Fonseca Late Bottled Vintage,2008
,Dessert,Portugal,,22.99,Port,1,,WS,93,,22.99,Fonseca Late Bottled Vintage,2008
,Red,,19.99,19.99,Other Red Wine,1,19.99,,,,,Bouza Tannat Reserva,2012
,Red,,19.99,19.99,Other Red Wine,1,19.99,,,,,Bouza Tannat Reserva,2012
,Red,,19.99,19.99,Other Red Wine,1,19.99,,,,,Bouza Tannat Reserva,2012
,Red,,19.99,19.99,Other Red Wine,1,19.99,,,,,Bouza Tannat Reserva,2012
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
,Red,Argentina,,15.99,Cabernet Sauvignon,1,,,,,15.99,Atrevida Cabernet Sauvignon,2011
3,Red,Argentina,10.99,10.99,Cabernet Sauvignon,1,24,,,,,Tilia Cabernet Sauvignon,2012
3,Red,Argentina,10.99,10.99,Cabernet Sauvignon,1,24,,,,,Tilia Cabernet Sauvignon,2012
3,Red,Argentina,10.99,10.99,Cabernet Sauvignon,1,24,,,,,Tilia Cabernet Sauvignon,2012
3,Red,Argentina,10.99,10.99,Cabernet Sauvignon,1,24,,,,,Tilia Cabernet Sauvignon,2012
3,Red,Argentina,10.99,10.99,Cabernet Sauvignon,1,24,,,,,Tilia Cabernet Sauvignon,2012
3,Red,Argentina,10.99,10.99,Cabernet Sauvignon,1,24,,,,,Tilia Cabernet Sauvignon,2012
,Red,Argentina,,28.99,Malbec,1,,,,,28.99,Achaval-Ferrer Mendoza Malbec,2013
,Red,Argentina,,28.99,Malbec,1,,,,,28.99,Achaval-Ferrer Mendoza Malbec,2013
,Red,Argentina,28.99,28.99,Malbec,1,28.99,,,,,Achaval-Ferrer Mendoza Malbec,2013
,Red,Argentina,28.99,28.99,Malbec,1,28.99,,,,,Achaval-Ferrer Mendoza Malbec,2013
,Red,Argentina,28.99,28.99,Malbec,1,28.99,,,,,Achaval-Ferrer Mendoza Malbec,2013
,Red,Argentina,28.99,28.99,Malbec,1,28.99,,,,,Achaval-Ferrer Mendoza Malbec,2013
3,Red,Argentina,10.99,10.99,Malbec,1,13,,,,,Alamos Malbec,2013
3,Red,Argentina,10.99,10.99,Malbec,1,13,,,,,Alamos Malbec,2013
3,Red,Argentina,10.99,10.99,Malbec,1,13,,,,,Alamos Malbec,2013
3,Red,Argentina,10.99,10.99,Malbec,1,13,,,,,Alamos Malbec,2013
3,Red,Argentina,10.99,10.99,Malbec,1,13,,,,,Alamos Malbec,2013
3,Red,Argentina,10.99,10.99,Malbec,1,13,,,,,Alamos Malbec,2013
3,Red,Argentina,10.99,10.99,Malbec,1,13,,,,,Alamos Malbec,2013
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
1,Red,Argentina,,12.99,Malbec,1,,,,,12.99,Alta Vista Classic Malbec,2012
,Red,Argentina,24.99,24.99,Malbec,1,24.99,,,,,Belasco de Baquedano AR Guentota Malbec,2010
,Red,Argentina,24.99,24.99,Malbec,1,24.99,,,,,Belasco de Baquedano AR Guentota Malbec,2010
