,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing,,alcohol_percent_lower,alcohol_percent_upper
99,2706,Red,New Zealand,59.99,Pinot Noir,97,Escarpment Pahi Pinot Noir,12-14%,Meaty and Oily Fish,,12,14
100,2707,Red,USA,69.99,Cabernet Sauvignon,91,Duckhorn Napa Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
101,2714,Red,USA,99,Cabernet Sauvignon,93,Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
102,2720,Red,USA,19.99,Pinot Noir,92,Schug Sonoma Coast Pinot Noir,13-14%,"Duck, Goose and Game Birds",,13,14
103,2721,Red,Argentina,16.99,Cabernet Sauvignon,90,Catena Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
104,2729,Red,Argentina,24.99,Malbec,90,Luigi Bosca Malbec,13-14%,Beef and Venison,,13,14
105,2736,Red,Argentina,18.99,Malbec,92,TintoNegro Limestone Block Malbec,14%,Beef and Venison,,14,14
107,2738,Red,Argentina,33.99,Pinot Noir,91,Luca Pinot Noir,14%,Chicken and Turkey,,14,14
108,2746,Red,Australia,59.99,Cabernet Sauvignon,90,Mollydooker Gigglepot Cabernet Sauvignon,15-16%,Beef and Venison,,15,16
109,2749,Red,Australia,16.99,Other Red Blends,90,Heartland Spice Trader Shiraz Cabernet Sauvignon,14%,Beef and Venison,,14,14
110,2756,Red,Australia,27.99,Cabernet Sauvignon,91,Langmeil The Blacksmith Cabernet Sauvignon,14-15%,Beef and Venison,,14,15
112,2765,Red,Australia,29.99,Syrah/Shiraz,92,Penfolds Kalimna Bin 28 Shiraz,14%,Beef and Venison,,14,14
113,2767,Red,Australia,149,Syrah/Shiraz,99,Clarendon Hills Astralis Syrah,13-14%,Beef and Venison,,13,14
114,2780,Red,Chile,26.99,Pinot Noir,93,Matetic EQ Pinot Noir,14-15%,Chicken and Turkey,,14,15
116,2782,Red,France,129,Bordeaux,95,Chateau Gracia,15%,Beef and Venison,,15,15
117,2785,Red,France,64.99,Bordeaux,95,Chateau Larcis-Ducasse,14%,Beef and Venison,,14,14
119,2795,Red,France,269,Bordeaux,100,Chateau Montrose,12-14%,Beef and Venison,,12,14
120,2798,Red,France,79.99,Bordeaux,95,Chateau Pape Clement ,13-14%,Beef and Venison,,13,14
121,2801,Red,France,13.99,Rhone Red Blends,91,Bila-Haut by Michel Chapoutier Bila-Haut Cotes du Roussillon-Villages,12-14%,Lamb,,12,14
122,2802,Red,France,29.99,Rhone Red Blends,94,Bila-Haut by Michel Chapoutier Occultum Lapidem,14%,Lamb,,14,14
123,2805,Red,France,22.99,Rhone Red Blends,93,Domaine de Mourchon Cotes du Rhone Villages Seguret Grande Reserve,13-15%,Lamb,,13,15
126,2827,Red,Italy,59.99,Nebbiolo,95,Pio Cesare Barolo,14%,Lamb,,14,14
127,2828,Red,Italy,45.99,Cabernet Sauvignon,93,Mazzei Philip Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
128,2839,Red,Italy,35.99,Sangiovese,94,Castello di Bossi Chianti Classico Riserva Berardo,13-14%,Lamb,,13,14
129,2845,Red,Italy,22.99,Sangiovese,92,Felsina Berardenga Chianti Classico,13-14%,Lamb,,13,14
130,2848,Red,Italy,15.99,Sangiovese,91,Felsina Berardenga Chianti Classico ,13-14%,Lamb,,13,14
131,2854,Red,Italy,48.99,Sangiovese,95,Felsina Chianti Classico Riserva Rancia,13-14%,Lamb,,13,14
132,2860,Red,New Zealand,71.99,Pinot Noir,95,Pyramid Valley Angel Flower Pinot Noir,12-14%,Meaty and Oily Fish,,12,14
133,2861,Red,New Zealand,39.99,Cabernet Franc,92,Pyramid Valley Howell Cabernet Franc,14%,Beef and Venison,,14,14
134,2862,Red,South Africa,46.99,Pinot Noir,94,Hamilton Russell Pinot Noir,13-14%,"Duck, Goose and Game Birds",,13,14
135,2868,Red,Spain,12.99,Grenache,90,Espelt Garnacha Old Vines,13-15%,Lamb,,13,15
136,2874,Red,Spain,9.99,Grenache,89,Evodia Old Vine Grenache,15%,Lamb,,15,15
137,2875,Red,Spain,11.99,Mourvedre,90,Bodegas Castano Hecula,13-14%,Lamb,,13,14
138,2888,Red,Spain,15.99,Mourvedre,92,Vinos Sin-Ley Monastrell,14%,Lamb,,14,14
139,2896,Red,Spain,15.99,Other Red Blends,94,Bodegas Castano Solanera,14%,Lamb,,14,14
140,2897,Red,Spain,16.99,Other Red Blends,92,Bodegas Zerran Tinto,14%,Lamb,,14,14
142,2899,Red,Spain,18.99,Other Red Wine,90,Arturo Garcia Solar de Sael Crianza Bierzo,14%,Lamb,,14,14
143,2908,Red,Spain,78.99,Other Red Blends,96,Marques de Murrieta Castillo Ygay Gran Reserva,13-14%,Lamb,,13,14
