Wine Type,Final Price,Grape Variety,Rating Score,Wine Name,Alcohol_Percent
Red,59.99,Nebbiolo,95,Pio Cesare Barolo,0
Red,45.99,Cabernet Sauvignon,93,Mazzei Philip Cabernet Sauvignon,0
Red,39.99,Sangiovese,91,Caparzo Brunello di Montalcino,0
Red,35.99,Sangiovese,94,Castello di Bossi Chianti Classico Riserva Berardo,0
Red,22.99,Sangiovese,92,Felsina Berardenga Chianti Classico,0
Red,15.99,Sangiovese,91,Felsina Berardenga Chianti Classico (375ML half-bottle),0
Red,48.99,Sangiovese,95,Felsina Chianti Classico Riserva Rancia,0
Red,71.99,Pinot Noir,95,Pyramid Valley Angel Flower Pinot Noir,0
Red,39.99,Cabernet Franc,92,Pyramid Valley Howell Cabernet Franc,0
Red,46.99,Pinot Noir,94,Hamilton Russell Pinot Noir,0
Red,12.99,Grenache,90,Espelt Garnacha Old Vines,0
Red,9.99,Grenache,89,Evodia Old Vine Grenache,0
Red,11.99,Mourvedre,90,Bodegas Castano Hecula,0
Red,11.99,Mourvedre,91,Bodegas Castano Hecula,0
Red,15.99,Mourvedre,92,Vinos Sin-Ley Monastrell,0
Red,15.99,Other Red Blends,94,Bodegas Castano Solanera,0
Red,16.99,Other Red Blends,92,Bodegas Zerran Tinto,0
Red,17.99,Other Red Blends,93,Locations by Dave Phinney E-2,0
Red,18.99,Other Red Wine,90,Arturo Garcia Solar de Sael Crianza Bierzo,0
Red,78.99,Other Red Blends,96,Marques de Murrieta Castillo Ygay Gran Reserva,0
Red,16.99,Other Red Blends,91,Palacios Remondo La Montesa,0
Red,14.99,Other Red Blends,90,Palacios Remondo Rioja Vendimia,0
Red,11.99,Other Red Wine,90,Antano Gran Seleccion Graciano,0
Red,54.99,Tempranillo,95,Bodegas Muga Gran Reserva Prado Enea,0
Red,21.99,Tempranillo,91,Marques de Murrieta Rioja Reserva,0
Red,59.99,Bordeaux,94,Anderson's Conn Valley Vineyards Right Bank Proprietary Red Blend,0
Red,49.99,Bordeaux,90,Conn Creek Anthology,0
Red,64.99,Bordeaux,92,Justin Isosceles,0
Red,139.99,Bordeaux,94,Pahlmeyer Napa Valley Proprietary Red,0
Red,73.99,Cabernet Sauvignon,90,Cakebread Cabernet Sauvignon,0
Red,29.99,Cabernet Sauvignon,90,Emblem Napa Valley Cabernet Sauvignon,0
Red,79.99,Cabernet Sauvignon,90,Etude Napa Valley Cabernet Sauvignon,0
Red,199.99,Cabernet Sauvignon,100,Joseph Phelps Insignia,0
Red,109,Cabernet Sauvignon,100,Joseph Phelps Insignia (375ML half-bottle),0
Red,35.99,Cabernet Sauvignon,90,Louis Martini Napa Valley Cabernet Sauvignon,0
Red,21.99,Cabernet Sauvignon,90,Michael David Winery Freakshow,0
Red,56.99,Cabernet Sauvignon,89,Pine Ridge Napa Cabernet Sauvignon,0
Red,24.99,Cabernet Sauvignon,91,Roth Alexander Valley Cabernet Sauvignon,0
Red,57.99,Cabernet Sauvignon,93,Round Pond Estate Rutherford Cabernet Sauvignon,0
Red,33.99,Cabernet Sauvignon,91,St. Supery Cabernet Sauvignon,0
Red,29.99,Merlot,92,Freemark Abbey Merlot,0
Red,18.99,Other Red Blends,88,Gundlach Bundschu Mountain Cuvee,0
Red,13.99,Other Red Blends,89,Marietta Old Vine Red #62,0
Red,18.99,Other Red Blends,91,Michael David Winery Petite Petit,0
Red,39.99,Other Red Blends,92,The Prisoner Wine Company Prisoner,0
Red,28.99,Other Red Wine,93,Taken Wine Company Napa Valley Red Blend,0
Red,19.99,Pinot Noir,93,Migration Russian River Pinot Noir (375ML half-bottle),0
Red,17.99,Pinot Noir,91,Siduri Santa Lucia Highlands Pinot Noir (375ML),0
Red,33.99,Rhone Red Blends,93,Limerick Lane Syrah / Grenache,0
Red,17.99,Zinfandel,90,Michael David Winery 7 Deadly Zins Zinfandel,0
Red,45.99,Pinot Noir,92,Evening Land Eola-Amity Hills Seven Springs Vineyard Pinot Noir,0
Red,78.99,Bordeaux,94,Col Solare,0
Red,33.99,Cabernet Sauvignon,91,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon,0
Red,17.99,Malbec,89,La Posta Angel Paulucci Vineyard Malbec,0
Red,19.99,Malbec,90,Terrazas de los Andes Reserva Malbec,0
Red,31.99,Malbec,91,Tikal Amorio Malbec,0
Red,19.99,Syrah/Shiraz,91,Tait The Ball Buster,0
Red,21.99,Syrah/Shiraz,91,Torbreck Woodcutters Shiraz,0
Red,24.99,Syrah/Shiraz,91,d'Arenberg Laughing Magpie Shiraz Viognier,0
Red,32.99,Rhone Red Blends,89,Domaine du Vieux Lazaret Chateauneuf-du-Pape,0
Red,17.99,Rhone Red Blends,89,Domaine du Vieux Lazaret Chateauneuf-du-Pape (375ML half-bottle),0
Red,239,Nebbiolo,97,Gaja Sperss,0
Red,22.99,Nebbiolo,90,Marchesi di Gresy Nebbiolo Martinenga,0
Red,19.99,Other Red Blends,91,Poggio al Tesoro Mediterra,0
Red,18.99,Sangiovese,91,Castello di Meleto Chianti Classico,0
Red,23.99,Sangiovese,90,Col d'Orcia Rosso di Montalcino,0
Red,10.99,Grenache,88,Artazu Artazuri Garnacha,0
Red,15.99,Grenache,91,Bodegas Breca,0
Red,8.99,Grenache,89,Bodegas Breca Garnacha de Fuego,0
Red,18.99,Grenache,92,Borsao Tres Picos Garnacha,0
Red,12.99,Mourvedre,91,Bodegas Olivares Altos de la Hoya,0
Red,16.99,Mourvedre,92,Bodegas Volver Tarima Hill,0
Red,15.99,Tempranillo,90,Bodegas Barco de Piedra Tempranillo,0
Red,12.99,Tempranillo,90,Vina Gormaz Tempranillo,0
Red,10.99,Other Red Wine,90,Bodegas y Vinedos Ilurce Rio Madre Graciano,0
Red,19.99,Tempranillo,90,Sierra Cantabria Crianza,0
Red,68.99,Cabernet Sauvignon,91,Joseph Phelps Cabernet Sauvignon,0
Red,53.99,Cabernet Sauvignon,93,Ramey Cabernet Sauvignon,0
Red,59.99,Pinot Noir,92,Chasseur Umino Pinot Noir,0
Red,74.99,Pinot Noir,92,Pahlmeyer Sonoma Coast Pinot Noir,0
Red,29.99,Pinot Noir,90,WillaKenzie Estate Gisele Pinot Noir,0
Red,89.99,Bordeaux,94,Figgins Estate Red Wine,0
Red,10.99,Malbec,88,Trivento Malbec Reserve,0
Red,10.99,Other Red Blends,88,Alamos Red Blend,0
Red,19.99,Other Red Wine,93,Bodega Garzon Tannat,0
Red,13.99,Other Red Blends,92,Montes Twins Red Blend,0
Red,89,Nebbiolo,96,Marchesi di Barolo Barolo Cannubi,0
Red,10.99,Sangiovese,88,Badia a Coltibuono Cetamura Chianti,0
Red,21.99,Sangiovese,88,Santa Margherita Chianti Classico Riserva,0
Red,19.99,Pinot Noir,90,Mohua Pinot Noir,0
Red,37.99,Tempranillo,98,Faustino I Gran Reserva,0
Red,24.99,Bordeaux,92,Robert Hall Meritage Red Blend,0
Red,32.99,Cabernet Sauvignon,91,Atalon Cabernet Sauvignon,0
Red,57.99,Cabernet Sauvignon,95,DAOU Vineyards Reserve Cabernet Sauvignon,0
Red,71.99,Cabernet Sauvignon,95,Kenwood Artist Series Cabernet Sauvignon,0
Red,57.99,Cabernet Sauvignon,95,Levendi Stagecoach Cabernet Sauvignon,0
Red,9.99,Cabernet Sauvignon,90,Pennywise Cabernet Sauvignon,0
Red,19.99,Cabernet Sauvignon,91,Plungerhead Dry Creek Cabernet Sauvignon,0
Red,13.99,Cabernet Sauvignon,90,Plungerhead Lodi Cabernet Sauvignon,0
Red,19.99,Cabernet Sauvignon,90,Rodney Strong Cabernet Sauvignon,0
Red,55.99,Cabernet Sauvignon,91,Stag's Leap Wine Cellars Artemis Cabernet Sauvignon,0
Red,32.99,Cabernet Sauvignon,91,Stag's Leap Wine Cellars Artemis Cabernet Sauvignon (375ML half-bottle),0
Red,89,Merlot,95,Duckhorn Three Palms Merlot,0
