,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing
121,2801,Red,France,13.99,Rhone Red Blends,91.0,Bila-Haut by Michel Chapoutier Bila-Haut Cotes du Roussillon-Villages,0,
122,2802,Red,France,29.99,Rhone Red Blends,94.0,Bila-Haut by Michel Chapoutier Occultum Lapidem,0,
123,2805,Red,France,22.99,Rhone Red Blends,93.0,Domaine de Mourchon Cotes du Rhone Villages Seguret Grande Reserve,0,
124,2813,Red,France,64.99,Rhone Red Blends,96.0,Vieille Julienne Chateauneuf-du-Pape Les Trois Sources,0,
125,2821,Red,Italy,17.99,Other Red Blends,90.0,Locations by Dave Phinney I-1,0,
126,2827,Red,Italy,59.99,Nebbiolo,95.0,Pio Cesare Barolo,0,
127,2828,Red,Italy,45.99,Cabernet Sauvignon,93.0,Mazzei Philip Cabernet Sauvignon,0,
128,2839,Red,Italy,35.99,Sangiovese,94.0,Castello di Bossi Chianti Classico Riserva Berardo,0,
129,2845,Red,Italy,22.99,Sangiovese,92.0,Felsina Berardenga Chianti Classico,0,
130,2848,Red,Italy,15.99,Sangiovese,91.0,Felsina Berardenga Chianti Classico (375ML half-bottle),0,
131,2854,Red,Italy,48.99,Sangiovese,95.0,Felsina Chianti Classico Riserva Rancia,0,
132,2860,Red,New Zealand,71.99,Pinot Noir,95.0,Pyramid Valley Angel Flower Pinot Noir,0,
133,2861,Red,New Zealand,39.99,Cabernet Franc,92.0,Pyramid Valley Howell Cabernet Franc,0,
134,2862,Red,South Africa,46.99,Pinot Noir,94.0,Hamilton Russell Pinot Noir,0,
135,2868,Red,Spain,12.99,Grenache,90.0,Espelt Garnacha Old Vines,0,
136,2874,Red,Spain,9.99,Grenache,89.0,Evodia Old Vine Grenache,0,
137,2875,Red,Spain,11.99,Mourvedre,90.0,Bodegas Castano Hecula,0,
138,2888,Red,Spain,15.99,Mourvedre,92.0,Vinos Sin-Ley Monastrell,0,
139,2896,Red,Spain,15.99,Other Red Blends,94.0,Bodegas Castano Solanera,0,
140,2897,Red,Spain,16.99,Other Red Blends,92.0,Bodegas Zerran Tinto,0,
141,2898,Red,Spain,17.99,Other Red Blends,93.0,Locations by Dave Phinney E-2,0,
142,2899,Red,Spain,18.99,Other Red Wine,90.0,Arturo Garcia Solar de Sael Crianza Bierzo,0,
143,2908,Red,Spain,78.99,Other Red Blends,96.0,Marques de Murrieta Castillo Ygay Gran Reserva,0,
144,2914,Red,Spain,16.99,Other Red Blends,91.0,Palacios Remondo La Montesa,0,
